# Run started 2023-05-03 16:33:52.274368
# Command: count_fasta_length.py Schizosaccharomyces_pombe_230503_5UTR.fa Schizosaccharomyces_pombe_230503_5UTR_length.tsv
# Parameters:
#	in_file: Schizosaccharomyces_pombe_230503_5UTR.fa
#	out_file: Schizosaccharomyces_pombe_230503_5UTR_length.tsv
ORF	Length
SPAC1002.02	114
SPAC1002.03c	87
SPAC1002.04c	86
SPAC1002.07c	42
SPAC1002.08c	207
SPAC1002.09c	72
SPAC1002.10c	119
SPAC1002.11	154
SPAC1002.12c	81
SPAC1002.13c	241
SPAC1002.14	202
SPAC1002.15c	57
SPAC1002.16c	348
SPAC1002.17c	18
SPAC1002.18	352
SPAC1002.19	215
SPAC1006.01	322
SPAC1006.02	104
SPAC1006.03c	26
SPAC1006.05c	145
SPAC1006.06	387
SPAC1006.07	33
SPAC1006.08	110
SPAC1006.09	625
SPAC1039.01	295
SPAC1039.02	49
SPAC1039.03	555
SPAC1039.04	288
SPAC1039.05c	166
SPAC1039.06	235
SPAC1039.07c	24
SPAC1039.08	205
SPAC1039.09	21
SPAC1039.10	50
SPAC1039.11c	397
SPAC105.01c	166
SPAC105.02c	40
SPAC105.03c	121
SPAC1071.01c	112
SPAC1071.02	205
SPAC1071.05	33
SPAC1071.06	55
SPAC1071.07c	18
SPAC1071.08	56
SPAC1071.09c	22
SPAC1071.10c	1432
SPAC1071.11	112
SPAC1071.12c	272
SPAC1093.01	814
SPAC1093.02	16
SPAC1093.03	25
SPAC1093.04c	237
SPAC1093.05	21
SPAC10F6.01c	523
SPAC10F6.02c	95
SPAC10F6.03c	42
SPAC10F6.04	15
SPAC10F6.05c	20
SPAC10F6.06	32
SPAC10F6.08c	55
SPAC10F6.09c	22
SPAC10F6.10	94
SPAC10F6.11c	170
SPAC10F6.12c	202
SPAC10F6.13c	22
SPAC10F6.14c	118
SPAC10F6.17c	42
SPAC110.01	1213
SPAC110.02	194
SPAC110.03	99
SPAC110.04c	131
SPAC1142.01	13
SPAC1142.02c	69
SPAC1142.03c	117
SPAC1142.04	15
SPAC1142.05	356
SPAC1142.06	92
SPAC1142.07c	216
SPAC1142.08	176
SPAC11D3.01c	33
SPAC11D3.02c	231
SPAC11D3.03c	64
SPAC11D3.04c	28
SPAC11D3.05	84
SPAC11D3.06	354
SPAC11D3.07c	125
SPAC11D3.08c	348
SPAC11D3.09	32
SPAC11D3.10	325
SPAC11D3.11c	109
SPAC11D3.13	159
SPAC11D3.14c	46
SPAC11D3.15	86
SPAC11D3.16c	326
SPAC11D3.17	305
SPAC11D3.18c	31
SPAC11D3.19	13
SPAC11E3.01c	43
SPAC11E3.02c	129
SPAC11E3.03	20
SPAC11E3.04c	13
SPAC11E3.05	144
SPAC11E3.06	90
SPAC11E3.07	44
SPAC11E3.08c	47
SPAC11E3.09	123
SPAC11E3.10	88
SPAC11E3.11c	270
SPAC11E3.12	114
SPAC11E3.13c	448
SPAC11E3.14	934
SPAC11E3.15	38
SPAC11G7.01	149
SPAC11G7.02	257
SPAC11G7.03	69
SPAC11G7.04	13
SPAC11G7.05c	431
SPAC11G7.06c	994
SPAC11H11.01	149
SPAC11H11.02c	136
SPAC11H11.03c	52
SPAC11H11.05c	33
SPAC11H11.06	33
SPAC1250.01	161
SPAC1250.03	11
SPAC1250.04c	218
SPAC1250.05	69
SPAC1296.01c	410
SPAC1296.02	66
SPAC1296.03c	435
SPAC1296.04	102
SPAC1296.05c	75
SPAC1296.06	71
SPAC12B10.01c	202
SPAC12B10.02c	108
SPAC12B10.03	317
SPAC12B10.04	39
SPAC12B10.05	8
SPAC12B10.06c	146
SPAC12B10.07	40
SPAC12B10.08c	365
SPAC12B10.09	17
SPAC12B10.10	99
SPAC12B10.12c	306
SPAC12B10.13	197
SPAC12B10.14c	254
SPAC12B10.15c	9
SPAC12B10.16c	129
SPAC12G12.01c	83
SPAC12G12.02	60
SPAC12G12.03	42
SPAC12G12.04	242
SPAC12G12.05c	90
SPAC12G12.06c	106
SPAC12G12.07c	43
SPAC12G12.08	228
SPAC12G12.09	65
SPAC12G12.10	101
SPAC12G12.11c	128
SPAC12G12.12	164
SPAC12G12.13c	119
SPAC12G12.14c	167
SPAC12G12.15	14
SPAC12G12.16c	99
SPAC12G12.17	81
SPAC1327.01c	127
SPAC139.01c	178
SPAC139.02c	85
SPAC139.03	247
SPAC139.04c	26
SPAC139.05	324
SPAC139.06	10
SPAC1399.01c	1291
SPAC1399.02	255
SPAC1399.03	322
SPAC1399.05c	111
SPAC13A11.01c	52
SPAC13A11.02c	531
SPAC13A11.03	71
SPAC13A11.04c	90
SPAC13A11.05	220
SPAC13C5.01c	16
SPAC13C5.02	52
SPAC13C5.03	110
SPAC13C5.04	40
SPAC13C5.05c	16
SPAC13C5.06c	921
SPAC13C5.07	35
SPAC13D6.01	51
SPAC13D6.02c	81
SPAC13D6.03c	72
SPAC13D6.04c	163
SPAC13D6.05	85
SPAC13F5.01c	52
SPAC13F5.02c	35
SPAC13F5.03c	212
SPAC13F5.04c	55
SPAC13F5.05	163
SPAC13F5.06c	93
SPAC13G6.01c	319
SPAC13G6.02c	13
SPAC13G6.03	263
SPAC13G6.04	58
SPAC13G6.05c	44
SPAC13G6.06c	222
SPAC13G6.07c	20
SPAC13G6.09	65
SPAC13G6.10c	162
SPAC13G6.11c	52
SPAC13G6.12c	314
SPAC13G6.14	197
SPAC13G6.15c	302
SPAC13G7.01c	166
SPAC13G7.02c	211
SPAC13G7.03	80
SPAC13G7.04c	578
SPAC13G7.05	196
SPAC13G7.06	205
SPAC13G7.07	43
SPAC13G7.08c	37
SPAC13G7.09c	108
SPAC13G7.10	97
SPAC13G7.11	86
SPAC13G7.12c	476
SPAC13G7.13c	2586
SPAC140.01	33
SPAC140.02	61
SPAC140.03	86
SPAC140.04	243
SPAC1420.01c	527
SPAC1420.02c	196
SPAC144.01	57
SPAC144.02	44
SPAC144.03	53
SPAC144.04c	338
SPAC144.05	159
SPAC144.06	53
SPAC144.07c	412
SPAC144.08	113
SPAC144.09c	193
SPAC144.10c	89
SPAC144.11	24
SPAC144.12	780
SPAC144.13c	137
SPAC144.14	361
SPAC144.15c	229
SPAC144.16	72
SPAC144.17c	322
SPAC144.18	29
SPAC1486.01	138
SPAC1486.02c	20
SPAC1486.03c	52
SPAC1486.04c	52
SPAC1486.05	63
SPAC1486.06	368
SPAC1486.07c	6
SPAC1486.08	59
SPAC1486.09	14
SPAC1486.10	106
SPAC14C4.01c	78
SPAC14C4.02c	40
SPAC14C4.04	233
SPAC14C4.05c	60
SPAC14C4.06c	401
SPAC14C4.07	349
SPAC14C4.09	170
SPAC14C4.10c	466
SPAC14C4.11	36
SPAC14C4.12c	200
